Title,TitleUrl,ImgSrc
苹果将允许开发者研发同时适用于iPhone、iPad和Mac的通用应用程序,https://www.cnbeta.com/articles/tech/820159.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/6830d9d43b72615.jpg
Valve宣布下线Steam视频板块：逐渐剥离非游戏业务,https://hot.cnbeta.com/articles/game/820165,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/b9d15ff00d910c7.jpg
乐视网公告：存在股票被暂停上市风险,https://hot.cnbeta.com/articles/movie/820163,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/6468c3ffbfa4c7b.png
腾讯运动手表双十二促销，最高省800！,https://detail.tmall.com/item.htm?spm=a1z09.8149145.0.0.6f471f535EK1qG&id=578105411932&skuId=4087402743592,https://static.cnbetacdn.com/article/2018/0718/84ad04a301d0375.jpg
传滴滴外卖和顺风车开启裁员 官方未予置评,https://www.cnbeta.com/articles/tech/820161.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/0d670321d1618f0.png
大众点评将被放弃？美团:不存在合并进美团App可能性,https://www.cnbeta.com/articles/tech/820157.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/94310837eb04965.png
鸡蛋也开始人造了？这家创企正寻求2亿美元融资,https://www.cnbeta.com/articles/tech/820155.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/e6ea3657a9f4da3.jpg
高通敦促美监管机构推翻裁决 禁止进口部分iPhone,https://www.cnbeta.com/articles/tech/820153.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/4b31bf10e69bba2.jpg
部分用户路由器被黑客攻击 或造成访问延迟或失败,https://www.cnbeta.com/articles/tech/820151.htm,https://static.cnbetacdn.com/topics/60c891a73546ac3.png
雷军：拿华为手机学习后信心大增 Mate20和小米9差距太远,https://www.cnbeta.com/articles/tech/820149.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/5bf4fb8bc0b174e.jpg
小米9发布会同款娃娃上架小米有品：容貌美艳,https://www.cnbeta.com/articles/tech/820147.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/9105b48acd08513.jpg
vivo V15 Pro参数规格披露：骁龙675+48MP后置三摄,https://www.cnbeta.com/articles/tech/820145.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/c323bcdd2f5cafe.jpeg
雷军回应放弃扁平化管理：我没变，所有高管还在一线,https://www.cnbeta.com/articles/tech/820143.htm,https://static.cnbetacdn.com/topics/904fa65ea1b0b03.png
英国无线产业组织敦促欧洲：华为不可禁,https://www.cnbeta.com/articles/tech/820141.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/34a950f95b11619.png
微软：黑客攻击目标转向欧洲智库和非营利组织,https://www.cnbeta.com/articles/tech/820139.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/6b26dc3892599b6.jpg
"上亿元巨资消失!集中""爆雷""的网贷平台运作内幕曝光",https://www.cnbeta.com/articles/tech/820137.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/0f354620bd292e0.jpg
蔡崇信向湖州双林捐资新建体育馆 总面积5904平方米,https://www.cnbeta.com/articles/tech/820135.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/89996ae7eaecc22.jpg
格力启动“全员销售”活动 为了董明珠6000亿目标？,https://www.cnbeta.com/articles/tech/820133.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/a5d3814d3ceada0.jpeg
日本将讨论允许中小学生带手机上学,https://www.cnbeta.com/articles/tech/820131.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/832251b18b1a7e4.jpg
特斯拉发布2018年报 中国市场需求正急转直下,https://www.cnbeta.com/articles/tech/820129.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/eb28edb90adaa0f.png
卡塔尔航空宣布旗下现役空客A380将于2024年退役,https://www.cnbeta.com/articles/tech/820127.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/2e94a3c6bd497e6.jpg
小米9图赏：全息幻彩紫吸睛,https://www.cnbeta.com/articles/tech/820123.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/81345136dcc0ca4.jpg
[视频]三星One UI详细评测：朝正确方向迈进一大步,https://www.cnbeta.com/articles/tech/820121.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/b76b1baf485159a.jpg
《阿丽塔：战斗天使》中文主题曲MV正式发布 袁娅维献唱,https://hot.cnbeta.com/articles/music/820119,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/68a7e913be5b3e7.jpg
大众全新logo公布 立体质感秒变扁平化数字形象,https://www.cnbeta.com/articles/tech/820117.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/81f6b36eb985c25.jpg
台积电拿出上百亿元奖励员工 平均每人可得24万元,https://www.cnbeta.com/articles/tech/820115.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/c43106957113516.jpg
《俄罗斯方块99》火爆 彪马将趁势推出合作款球鞋,https://hot.cnbeta.com/articles/game/820113,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/7a291e5f070471c.jpeg
Chrome将支持在Windows 10设备上使用硬件键盘键入时启用文本建议功能,https://www.cnbeta.com/articles/tech/820111.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/f7286b1289ab356.jpg
小米9透明尊享版发布：首发量产12GB内存 售价3999元,https://www.cnbeta.com/articles/tech/820107.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/179b13ee88bda28.jpg
你们心心念的良心合集《30in1迷你游戏收藏》2.21日登陆Switch,https://hot.cnbeta.com/articles/game/820105,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/d815bcd513e2629.png
小米9最终售价揭晓 雷军：可能是旗舰最后一次三千以内,https://www.cnbeta.com/articles/tech/820103.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/b9df79f2ebc3cf9.jpg
小米9 SE正式发布：全球首发骁龙712 新一代小屏旗舰,https://www.cnbeta.com/articles/tech/820101.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/13cc24ee50bad1b.jpg
小米9手机正式发布：售价2999元起 王源代言堆料足,https://www.cnbeta.com/articles/tech/820099.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/bede19c5c2e90c6.jpeg
小米20W无线充电器/无线车充/无线充电宝发布,https://www.cnbeta.com/articles/tech/820097.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/d0a19536974a9e9.jpg
[图]Galaxy Fold渲染图曝光：比预期薄很多 且没明显铰链区域,https://www.cnbeta.com/articles/tech/820095.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/71125f6a7d73a94.jpg
foobar2000 1.4.3 Beta 1 发布,https://www.cnbeta.com/articles/soft/820109.htm,https://static.cnbetacdn.com/thumb/mini/article/2019/0220/447500e5dea2cc8.png
